phase,architecture,dim,window,negative,start_lr,epochs,subsample_t,vocab_size,train_time_s,loss_start,loss_end,loss_drop,semantic_score,nn_score,analogy_score,sat_ratio,mean_top1_sim,top1_sim_std,saturation_penalty,model_tag
tuned,cbow,300,5,5,0.005,20,0.0005,4163,29.03,0.693147,0.693147,1e-06,0.0,0.0,0.0,0.0,0.2155,0.0191,0.0,cbow_d300_w5_n5_lr0p005_ep20_ss5em04
tuned,cbow,300,5,5,0.005,40,0.0005,4163,47.41,0.693147,0.693136,1.1e-05,0.0,0.0,0.0,0.0,0.2812,0.0213,0.0,cbow_d300_w5_n5_lr0p005_ep40_ss5em04
tuned,cbow,300,5,5,0.01,20,0.0005,4163,22.45,0.693147,0.693138,9e-06,0.0,0.0,0.0,0.0,0.268,0.0261,0.0,cbow_d300_w5_n5_lr0p01_ep20_ss5em04
tuned,cbow,300,5,5,0.01,40,0.0005,4163,44.16,0.693147,0.689466,0.003681,0.0,0.0,0.0,1.0,0.9852,0.0026,0.8282,cbow_d300_w5_n5_lr0p01_ep40_ss5em04
tuned,cbow,300,7,5,0.005,20,0.001,4163,27.4,0.693147,0.693145,2e-06,0.0,0.0,0.0,0.0,0.215,0.0206,0.0,cbow_d300_w7_n5_lr0p005_ep20_ss1em03
tuned,cbow,300,7,5,0.005,20,0.0005,4163,23.0,0.693147,0.693147,1e-06,0.0,0.0,0.0,0.0,0.2156,0.0191,0.0,cbow_d300_w7_n5_lr0p005_ep20_ss5em04
tuned,cbow,300,7,5,0.005,40,0.0005,4163,45.44,0.693147,0.693136,1.1e-05,0.0,0.0,0.0,0.0,0.2818,0.0217,0.0,cbow_d300_w7_n5_lr0p005_ep40_ss5em04
tuned,cbow,300,7,5,0.01,20,0.0005,4163,22.69,0.693147,0.693138,9e-06,0.0,0.0,0.0,0.0,0.2678,0.0265,0.0,cbow_d300_w7_n5_lr0p01_ep20_ss5em04
tuned,cbow,300,7,5,0.01,40,0.0005,4163,45.54,0.693147,0.689452,0.003695,0.0,0.0,0.0,1.0,0.9854,0.0026,0.8283,cbow_d300_w7_n5_lr0p01_ep40_ss5em04
tuned,skipgram,100,3,5,0.002,20,0.0005,4163,95.38,0.693147,0.693021,0.000126,0.0372,0.1556,0.0,0.2222,0.8077,0.1821,0.0639,skipgram_d100_w3_n5_lr0p002_ep20_ss5em04
tuned,skipgram,100,3,15,0.005,20,0.0005,4163,99.58,0.693146,0.239243,0.453903,0.0,0.3111,0.0,0.8889,0.967,0.087,0.7247,skipgram_d100_w3_n15_lr0p005_ep20_ss5em04
tuned,skipgram,100,3,5,0.002,40,0.001,4163,224.03,0.693147,0.564586,0.128562,0.0,0.2444,0.0,0.8889,0.9569,0.1153,0.7166,skipgram_d100_w3_n5_lr0p002_ep40_ss1em03
tuned,skipgram,100,3,10,0.002,20,0.001,4163,112.23,0.693147,0.463302,0.229845,0.0,0.2444,0.0,1.0,0.9936,0.0134,0.8349,skipgram_d100_w3_n10_lr0p002_ep20_ss1em03
tuned,skipgram,100,3,10,0.005,20,0.0005,4163,92.92,0.693147,0.327257,0.36589,0.0,0.2444,0.0,1.0,0.9966,0.0065,0.8373,skipgram_d100_w3_n10_lr0p005_ep20_ss5em04
tuned,skipgram,100,3,15,0.002,40,0.0005,4163,192.95,0.693147,0.249657,0.44349,0.0,0.2444,0.0,1.0,0.9945,0.0107,0.8356,skipgram_d100_w3_n15_lr0p002_ep40_ss5em04
tuned,skipgram,100,3,5,0.005,20,0.0005,4163,91.94,0.693147,0.561007,0.13214,0.0,0.2,0.0,1.0,0.9994,0.001,0.8395,skipgram_d100_w3_n5_lr0p005_ep20_ss5em04
tuned,skipgram,100,3,5,0.005,40,0.0005,4163,178.71,0.693147,0.454009,0.239138,0.0,0.2,0.0,0.8889,0.9826,0.0386,0.7372,skipgram_d100_w3_n5_lr0p005_ep40_ss5em04
tuned,skipgram,100,3,5,0.01,20,0.0005,4163,89.23,0.693147,0.456562,0.236585,0.0,0.2,0.0,0.8889,0.9869,0.0265,0.7406,skipgram_d100_w3_n5_lr0p01_ep20_ss5em04
tuned,skipgram,100,3,5,0.002,40,0.0005,4163,184.56,0.693147,0.623434,0.069713,0.0,0.1778,0.0,1.0,0.9986,0.0029,0.8389,skipgram_d100_w3_n5_lr0p002_ep40_ss5em04
tuned,skipgram,100,3,10,0.002,20,0.0005,4163,93.18,0.693147,0.57337,0.119777,0.0,0.1778,0.0,1.0,0.9994,0.0008,0.8395,skipgram_d100_w3_n10_lr0p002_ep20_ss5em04
tuned,skipgram,100,3,10,0.002,40,0.0005,4163,186.07,0.693147,0.351369,0.341778,0.0,0.1778,0.0,1.0,0.998,0.0037,0.8384,skipgram_d100_w3_n10_lr0p002_ep40_ss5em04
base,skipgram,200,3,5,0.005,20,0.001,4163,121.05,0.693147,0.52641,0.166737,0.0,0.1556,0.5,1.0,0.9923,0.0118,0.8338,skipgram_d200_w3_n5_lr0p005_ep20_ss1em03
base,skipgram,300,3,5,0.005,20,0.001,4163,115.43,0.693147,0.53199,0.161158,0.0,0.1556,0.0,1.0,0.9948,0.0064,0.8358,skipgram_d300_w3_n5_lr0p005_ep20_ss1em03
tuned,skipgram,100,3,5,0.002,20,0.001,4163,111.96,0.693147,0.691713,0.001434,0.0,0.1556,0.0,0.5556,0.888,0.1967,0.3949,skipgram_d100_w3_n5_lr0p002_ep20_ss1em03
tuned,skipgram,100,3,15,0.002,20,0.001,4163,115.89,0.693147,0.311677,0.38147,0.0,0.1556,0.0,1.0,0.9943,0.0068,0.8355,skipgram_d100_w3_n15_lr0p002_ep20_ss1em03
tuned,skipgram,100,3,15,0.002,20,0.0005,4163,96.62,0.693147,0.35929,0.333857,0.0,0.1556,0.0,1.0,0.9993,0.0011,0.8395,skipgram_d100_w3_n15_lr0p002_ep20_ss5em04
tuned,skipgram,100,3,15,0.005,40,0.0005,4163,200.79,0.693146,0.21926,0.473886,0.0,0.1556,0.0,0.8889,0.9715,0.0282,0.7283,skipgram_d100_w3_n15_lr0p005_ep40_ss5em04
tuned,skipgram,100,3,15,0.01,20,0.0005,4163,98.78,0.693062,0.219698,0.473364,0.0,0.1556,0.0,0.7778,0.9747,0.0212,0.642,skipgram_d100_w3_n15_lr0p01_ep20_ss5em04
tuned,skipgram,100,3,10,0.005,40,0.0005,4163,185.52,0.693147,0.289595,0.403552,0.0,0.1333,0.0,0.7778,0.9731,0.0318,0.6407,skipgram_d100_w3_n10_lr0p005_ep40_ss5em04
base,skipgram,200,3,15,0.005,20,0.001,4163,133.99,0.693144,0.225034,0.46811,0.0,0.1111,0.5,0.6667,0.9636,0.0406,0.5442,skipgram_d200_w3_n15_lr0p005_ep20_ss1em03
base,skipgram,100,3,5,0.005,20,0.001,4163,114.17,0.693147,0.518325,0.174822,0.0,0.1111,0.0,1.0,0.9872,0.0154,0.8297,skipgram_d100_w3_n5_lr0p005_ep20_ss1em03
base,skipgram,100,3,10,0.005,20,0.001,4163,123.37,0.693146,0.302247,0.390899,0.0,0.1111,0.0,0.8889,0.9703,0.032,0.7274,skipgram_d100_w3_n10_lr0p005_ep20_ss1em03
base,skipgram,100,5,5,0.005,20,0.001,4163,177.1,0.693147,0.441671,0.251475,0.0,0.1111,0.0,1.0,0.9833,0.0135,0.8266,skipgram_d100_w5_n5_lr0p005_ep20_ss1em03
base,skipgram,100,5,15,0.005,20,0.001,4163,194.6,0.693008,0.211031,0.481978,0.0,0.1111,0.0,0.8889,0.945,0.091,0.7071,skipgram_d100_w5_n15_lr0p005_ep20_ss1em03
